" and "," si "
"Add new store view map","Adauga stoc nou vizualizare harta"
"Add new website map","Adauga harta noua site"
"Address Type:","Adresa Tipe:"
"All","Tot"
"All Websites","toate site-urile"
"All fields","Toate campurile"
"Archive file name:","Nume fisier arhiva:"
"Are you sure that you want to delete this template?","Esti sigur ca vrei sa stergi acest model?"
"Are you sure that you want to strip tags?","Esti sigur ca vrei sa inlaturi tagurile?"
"Attribute Set Name:","Atribuie nume set:"
"Attributes","Atribute"
"Available Products","Produse Diponibile"
"Big Image","Imagine mare"
"Billing Address","Adresa afisaj"
"Bundle Items","Articole expediate"
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","expedierea cu preturi dinamice nu poate include optiuni definite comandate. Optiunile nu pot fi salvate."
"CSV / Tab separated","CSV / Taburi separate"
"Card Verification Number","Verificare numar card"
"Catalog","Catalog"
"Channel","Canal"
"Channel:","Canal:"
"Choose Store View","Alege vizualizare stoc"
"Client Session timeout (sec.)","Sfarsit sesiune client (sec.)"
"Close","Inchide"
"Comments History","Istoric comentarii"
"Confirmed email:","Email confirmat:"
"Connect with the Magento Community","Conecteaza-te cu comunitatea Magento"
"Contents","Continuturi"
"Country:","Tara:"
"Create New Staging Store View","Creeaza intrare noua vizualizare stoc"
"Create a backup","Creeaza copie de siguranta"
"Created <strong>%s</strong> items","Creeaza <puternic>%s</puternic> articole"
"Credit Card Number","Credit Card Number"
"Credit Card Number: xxxx-%s","Credit Card Number: xxxx-%s"
"Credit Card Type","Tip credit card"
"Credit Card Type: %s","Tip credit card: %s"
"Credit Memo History","Istorie memo credit"
"Credit Memo Totals","Total memo credit"
"Current Configuration Scope:","Preocupare configurare curenta:"
"Current Release Information","Eliberare informatie curenta"
"Custom","Ajustabil"
"Customer Group:","Grup Clienti:"
"Customer Since:","Client de la:"
"Customers","Clienti"
"DHTML Date/Time Selector","DHTML Data/Slector timp"
"Dashboard","Tablou de bord"
"Data Format","Format data"
"Data transfer:","Transfer data:"
"Date selection:","Selectie date:"
"Date selector","Selector data"
"Date:","Data:"
"Decimal separator:","Separator decimal:"
"Default (Admin) Values","Valori( Admin) din oficiu"
"Default Values","Default Values"
"Delete","Sterge"
"Dependencies","Dependente"
"Description:","Descriere:"
"Direction:","Directie:"
"Display %s first","Afiseaza %s intai"
"Distributed under GNU LGPL. See %s for details.","Distribuit sub GNU LGPL. Vezi %s pentru detalii."
"Done By:","Terminat de:"
"Done by:","Terminat de:"
"Download Remote File","Descarca fisier rezervat"
"Drag to move","Trage pentru mutat"
"Edit Role","Editeaza rol"
"Edit User '%s'","Editeaza utilizator '%s'"
"Email","Email"
"Email Preview","Previzualizare Email"
"Email:","Email:"
"Enclose Values In:","Valori imprejmuite in:"
"Entity type:","Tip entitate:"
"Excl. Tax","Excl. Taxe"
"Exclude","Exclude"
"Expiration Date","Data expirare"
"Expiration Date: %s/%s","Expiration Date: %s/%s"
"Export","Exporta"
"Export Filters","Exporta Filtre"
"Export to:","Exporta la:"
"Export:","Exporta:"
"Extension","Extensie"
"Extensions","Extensie"
"FTP Host[:Port]","Gazda FTP[:Port]"
"Field Mapping","Mapa camp"
"File Information","Informatie fisier"
"File name:","Nume fisier:"
"Final Price","Pret final"
"Finished items creation.","Articole terminate creatie."
"First Name:","Prenume:"
"For latest version visit: %s","Pentru ultima versiune viziteaza: %s"
"From","De la"
"General Settings","Setari generale"
"Get help for this page","Ia ajutor pentru aceasta pagina"
"Global Record Search","Cautare inregistrare globala"
"Go Today","Du-te astazi"
"Google Base Items","Articole google de baza"
"Group:","Grup:"
"Help Us Keep Magento Healthy - Report All Bugs","Ajuta-ne pastrand Magento sanatos- reporteaza toate problemele"
"Ignore","Ignora"
"Images","Imagini"
"Import","Importa"
"Import Service","Imporat serviciu"
"In Database:","In Baza de date:"
"In File:","In fisier:"
"Inactive","Inactiv"
"Incl. Tax","Incl. Taxe"
"Include","Include"
"Installed As","Instalat ca"
"Interactive","Interactiv"
"Interface Locale: %s","Interfata Locala: %s"
"Invalid webservice adapter specified","Webservice adaptor specificat invalid"
"Invalid webservice handler specified","Manevrator webservice specificat invalid"
"Invoice History","Arhiva factura"
"Invoice Totals","Total factura"
"Issue Number","Numar rezultat"
"Issuer: %s","Rezultat: %s"
"Items to merge","Articole de unit"
"Last 5 Orders","Ultimile 5 comenzi"
"Last 5 Search Terms","Ultimii 5 termeni cautati"
"Last Logged In (%s):","Ultimul logat in (%s):"
"Last Logged In:","Ultimul logat in:"
"Last Name:","Nume:"
"Latest Message:","Ultimul mesaj:"
"Leave empty to use tax identifier","Lasa spatiu pentru folosire identificator taxe"
"Level","Nivel"
"License:","Licenta:"
"Loading...","Incarcare..."
"Local Server","Server Local"
"Local/Remote Server","Local/ Server rezervat"
"Log Out","Delogare"
"Logged in as %s","Login ca %s"
"MS Excel XML","MS Excel XML"
"Magento Core Api","Magento Core Api"
"Magento Core Api Section","Magento Core Api Section"
"Magento Logo","Magento Logo"
"Magento ver. %s","Magento ver. %s"
"Magento&trade; is a trademark of Irubin Consulting Inc. DBA Varien.<br/>Copyright &copy; %s Irubin Consulting Inc.","Magento&trade; is a trademark of Irubin Consulting Inc. DBA Varien.<br/>Copyright &copy; %s Irubin Consulting Inc."
"Maintainers","Mentinatori"
"Manage Stores","Gestionare stocuri"
"Mapping Configuration","Configurare aplicare"
"Max","Maxim"
"Merge Now","Uneste acum"
"Min","Minim"
"Module version conflict!","Conflict versiune modul!"
"N/A","N/A"
"Name","Nume"
"Name on Card","Nume pe Card"
"Name on the Card: %s","Nume de pe Card: %s"
"Name:","Nume:"
"Next month (hold for menu)","Luna viitoare (tinuta pentru meniu)"
"Next page","Pagina urmatoare"
"Next year (hold for menu)","Anul urmator (tinut pentru meniu)"
"No","Nu"
"No Data Found","Nicio data gasita"
"No search keywords.","Nu cauta cuvinte cheie."
"Note:","Nota:"
"Notes:","Note:"
"Number of records:","Numarul inregistrarii:"
"Old rate:","Rata veche:"
"Only mapped fields","Numai campuri mapate"
"Order Totals","Total ordine"
"Order confirmation email not sent","Email confirmare comanda nu a fost trimis"
"Order confirmation email sent","Email confirmare comanda trimis"
"Original Magento attribute names in first row:","Nume original Magento atribut in primul rand:"
"Package","Pachet"
"Package Information","Informatii pachet"
"Packages","Pachete"
"Page","Pagina"
"Passive mode","Mod pasiv"
"Password","Parola"
"Path","Directie"
"Path:","Directie:"
"PayPal Email","PayPal Email"
"Personal Information","Informatii personale"
"Phone:","Telefon:"
"Please confirm site switching. All data that hasn't been saved will be lost.","Va rugam confirmati schimbare site. Toate datele care nu au fost salvate vor fi pierdute."
"Please enter 6 or more characters.","Va rugam tastati 6 sau mai multe caractere."
"Please enter a number greater than 0 in this field.","Va rugam tastati un numar mai mare de 0 in acest camp."
"Please enter a valid $ amount. For example $100.00.","Va rugam tastati o valoare valida $. De exemplu $100.00."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Va rugam introduceti un URL valid. De exemplu http://www.example.com or www.example.com"
"Please enter a valid URL. http:// is required","Va rugam introduceti un URL valid. http:// este cerut"
"Please enter a valid credit card number.","Va rugam tastati un numar de card de credit valid."
"Please enter a valid date.","Va rugam tastati o data valida."
"Please enter a valid email address. For example johndoe@domain.com.","Va rugam introduceti o adresa valida de email. De exemplu johndoe@domain.com."
"Please enter a valid number in this field.","Va rugam introduceti un numar valid in acest camp."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Va rugam introducetiun numar de telefon valid. De exemplu(123) 456- 7890 sau 123- 456- 7890."
"Please enter a valid social security number. For example 123-45-6789.","Va rugam introduceti un numar social de securitate valid."
"Please enter a valid value from list","Va rugam introduceti o valoare valida din lista"
"Please enter a valid value, ex: 10,20,30","Va rugam introduceti o valoare valida, exp: 10,20,30"
"Please enter a valid zip code.","Va rugam introduceti un zip cod valid."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Va rugam tastati un zip cod valid. De exemplu 90602 ."
"Please enter valid password.","Va rugam introduceti o parola valida."
"Please make sure that your changes were saved before running the profile.","Va rugam asigurati-va ca modificarile dvs. Au fost salvate inainte de derularea profilului."
"Please make sure your passwords match.","Va rugam asigurati-va ca parolele se potrivesc."
"Please select State/Province.","Va rugam introduce-ti statul/ judetul."
"Please select an option.","Va rugam selectati o optiune."
"Please select one of the above options.","Va rugam selectati una din optiunile de mai sus."
"Please select one of the options.","Va rugam selectati una din optiuni."
"Please use in this field only ""a-z,0-9,_"".","Va rugam folositi in acest camp doar ""a-z,0-9,_""."
"Please use letters only (a-z) in this field.","Va rugam folositi doar litere de la a la z in acest camp in this field."
"Please use numbers only in this field. Please avoid spaces or other characters such as dots or commas.","Va rugam folositi doar numere in acest camp. Va rugam evitati spatiile sau alte caracter ca puncte sau virgule."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Va rugam folositi numai litere de la a la z sau numere ( 0- 9) in acest camp."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Va rugam folositi numai litere( a- z) sau numere( 0- 9) sau spatii si numai # in acest camp ."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Va rugam utilizati acest format de data: dd/mm/yyyy.De exemplu 17/03/2006 pentru 17  Martie 2006."
"Please wait, loading...","Va rugam asteptati, se incarca..."
"Please, select a store view","Va rugam, selectati vizualizar stoc"
"Prev. month (hold for menu)","Luna precedenta (stationati pentru meniu)"
"Prev. year (hold for menu)","Anul precedent (stationati pentru meniu)"
"Previous page","Pagina precedenta"
"Price","Pret"
"Price:","Pret:"
"Primary Billing Address","Adresa facturare primara"
"Processed <strong>%s%% %s/%d</strong> items","Processed <strong>%s%% %s/%d</strong> items"
"Product","Produs"
"Products","Produse"
"Profile Information","Informatii ale profilului"
"Provided Files","Fisiere furnizate"
"Qty","Cantitate"
"Read details","citeste detaliile"
"Recommended","Recomandat"
"Remote FTP","Indeparteaza FTP"
"Remote URL:","Indeparteaza URL:"
"Remove","Indeparteaza"
"Resource Access","Acces resurse"
"Resources","Resurse"
"Role","Rol"
"Role Users","Rol Utilizatori"
"Roles","Roluri"
"Roles Resources","Roluri Resurse"
"SKU","SKU"
"SKU:","SKU:"
"Schedule Merge","Uneste program"
"Select All","Selecteaza tot"
"Select Date","Selecteaza Data"
"Select Range","Selecteaza Interval"
"Select Visible","Selecteaza Vizibil"
"Select date","Selecteaza data"
"Select website from map","Selecteaza site de pe harta"
"Select website to map","Selecteaza site pe harta"
"Shipment Comments","Comentarii incarcare"
"Shipment History","Arhiva incarcare"
"Shipping Address","Adresa incarcare"
"Shipping address selection is not applicable","Selectia adresei de incarcare nu este aplicabila"
"Shipping method selection is not applicable","Selectia metodei de incarcare nu este aplicabila"
"Show Report for","Arata raport pentru"
"Show by","Arata de"
"Some items in this order have different invoice and shipment types. You can create shipment only after the invoice is created.","Anumite articole in aceasta ordine au diferite tipuri de facturi si incarcaturi. Poti crea incarcatura numai dupa ce factura este creata ."
"Sort Order","Sorteaza comanda"
"Spreadsheet Name:","Nume pagina:"
"Staging Store: ","Stoc scenariu: "
"Staging Website: ","Scenariu site: "
"Start Date","Incepe data"
"State/Province:","Stat/Judet:"
"Status","Status"
"Status:","Status:"
"Stock Quantity:","Cantitate Stoc:"
"Store:","Stoc:"
"Store: ","Magazin: "
"Subpackage","Subpachet"
"Subpackages","Subpachet"
"Summary:","Rezumat:"
"Switch/Solo Only","Schimba/Numai singur "
"Switch/Solo card issue number: %s","Schimba/Numar rezultat card singular: %s"
"Switch/Solo card start Date: %s/%s","schimba/Numar rezultat card singular: %s/%s"
"Switch/Solo/Maestro(UK Domestic) Only","Schimba/Singular/Numai Maestro(UK Domestic)"
"Switch/Solo/Maestro(UK Domestic) card issue number: %s","Schimba/Singur/Numar rezultat card Maestro(UK Domestic): %s"
"Switch/Solo/Maestro(UK Domestic) card start Date: %s/%s","Schimba/Singur/Start data card Maestro(UK Domestic): %s/%s"
"The information in this tab has been changed.","Informatia in acest tab a fost schimbata."
"This is a required field.","Acesta este un camp cerut ."
"This tab contains invalid data. Please solve the problem before saving.","Acest tab contine date invalide. Va rugam rezolvati problema inainte de a salva"
"Thumbnail","Thumbnail"
"Time selection:","Timp selectie"
"Time:","Timp:"
"To","La"
"Top 5 Search Terms","Top 5 termeni cautare"
"Total %d records found","Total %d inregistrari gasite"
"Track order","Track comanda"
"Track this shipment","Track this shipment"
"Type","Tip"
"Type:","Tip:"
"Unable to login.","Imposibil de logat."
"Unselect All","Deselecteaza tot"
"Unselect Visible","Deselecteaza vizibil"
"Upgrade All Available Packages","Upgradeaza toate pachetele disponibile"
"Upload Local File","Upload fisier local"
"Upload local file:","Upload fisier local:"
"Use Default Value","Use Default Value"
"User","Utilizator"
"User Name","Nume utilizator"
"User Roles","Roluri utilizator"
"User name","Nume utilizator"
"Users","Utilizatori"
"Value Delimiter:","Delimitor valoare:"
"Version:","Versiune:"
"View","Vizualizare"
"View Statistics for","Vezi statistici pentru"
"Visibility:","Vizibilitate:"
"Warning! Empty value can cause problems with CSV format.","Atentie! Lipsa valorilor poate cauza probleme formatului CSV."
"Warning!rnThis action will remove this user from already assigned rolernAre you sure?","Atentie!rn Aceasta actiune va inlocui acest utilizator pentru rolul deja atribuit. Esti sigur?"
"Warning!rnThis action will remove those users from already assigned rolesrnAre you sure?","Atentie!rnaceasta actiune va inlocui acei utilizatori de la rolul deja atribuit. Esti sigur?"
"Web Services","Servicii web"
"Web Services Configuration","Servicii web de configurare"
"Website: ","Website: "
"Websites","Websites"
"Websites / Stores","Websites / Stocuri"
"What is this?","Ce este asta?"
"Yes","Da"
"You have","Ai"
"Your Account has been deactivated.","Contul tau a fost dezactivat."
"Your server PHP settings allow you to upload files not more than %s at a time. Please modify post_max_size (currently is %s) and upload_max_filesize (currently is %s) values in php.ini if you want to upload larger files.","Setarile servarului PHP va permit sa uploadezi fisiere nu mai mari decat %s o data. Va rugam modificati marimea maxima a postului( in mod curent este %s) si uploadeaza valorile marimii maxime a fisierelor( in mod curent este %s) in php.ini. daca vrei sa uploadezi fisiere mai largi."
"Zip/Postal Code:","Zip/Postal Code:"
"critical","critic"
"images/logo.gif","Imagini/logo.gif"
"items selected","articole selectate"
"major","major"
"md5sum","md5sum"
"minor","minor"
"notice","noteaza"
"of %s pages","of %s pages"
"or","sau"
"per page","pe pagina"
"to","la"
