"# of Use","# in uz"
"Visible on Product View Page on Front-end","Vizibil pe pagina de vizualizare a produsului pe front-end"
"Watermark","Watermark"
"Watermark Default Size","Marimea watermark din oficiu"
"Watermark Position","Pozitie Watermark"
"We Also Recommend","Accesorii"
"Web Site Item Must be checked","Articolul de pe site trebuie verificat"
"Web Site Store Must be checked","Stocul de pe site trebuie verificat"
"Website","Site"
"Websites","Site-uri"
"Wrong BuyRequest instance in options group","Cerere gresita de cumparare in opitiunile din grup"
"Wrong option instance type in options group","Tip optiuni gresite in optiunile grupului"
"Wrong option type to get group instance.","Tip de optiune gresita pentru a lua exemplul grupului."
"Wrong product instance type in options group","Tip gresit exemplu produs in optiune grup"
"Wrong quote item instance in options group","Exemplu gresit de citat articol in optiuni grup"
"Wrong quote item option instance in options group","Optiune fresita de citat articol in optiuni grup"
"Year Range","Interval an"
"Yes","Da"
"Yes/No","Da/Nu"
"You cannot delete this attribute","Nu se poate sterge acest atribut"
"You cannot edit this attribute","Nu se poate modifica acest atribut"
"You cannot remove system attribute from this set.","Nu se poate sterge atributul sistem din acest set."
"You cannot update this attribute","Nu se poate actualiza acest atribut"
"You have no items to compare.","Nu aveti produse la comparatie."
"You may also be interested in the following product(s)","Produse similare"
"Zoom In","Apropie"
"Zoom Out","Departeaza"
"[GLOBAL]","[GLOBAL]"
"and","si"
"and above","si peste"
"cache refresh needed","Reimprospatare cache ceruta"
"categories","categorii"
"comma separated","virgule separate"
"each","fiecare"
"ex. http://domain.com","ex. http://domeniu.com"
"leave blank if its not an image","Paraseste golul daca nu etse o imagine"
"must be in the allowed values list","trebuie sa fie in lista valorilor permise"
"per page","pe pagina"
"products","produse"
"px.","px."
"save","salveaza"
"select all","selecteaza toate"
"unselect all","deselecteaza toate"
"x","x"
"Description","Descriere"
"Short Description","Descriere scurta"
"Tax Class","Clasa taxa"
"There are no products matching the selection.","Nu exista produse care sa corespunda selectiei."
"Availability:","Disponibilitate:"
"Qty:","Cantitate:"
"Compare Products","Compara produse"
"You have no items to compare.","Nu aveti articole de comparat."
"Site Map","Harta site"
"Go to Home Page","Du-te la pagina de acasa"
"Home","Acasa"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Serviciul cu clientii este disponibil 24/7. Suna-ne la (555) 555-0123."
"Categories","Categorii"
"Keep your eyes open for our special Back to School items and save A LOT!","Pastreaza-ti ochii deschisi pentru articolele ""Inapoi la Scoala"" si salveaza O Gramada!"
"Categories Sitemap","Harta site a categoriilor"
"Are you sure you would like to remove all products from your comparison?","Esti sigur ca ai vrea sa inlocuiesti toate produsele comparate?"
"Clear All","Sterge toate"
"Products Sitemap","Harta site a produselor"
"Price without tax","Pret fara TVA"
"Call for Price","Pret disponibil la cerere"
"Product Details","Detalii Produs"
"Extra options","Optiuni suplimentare"
"Request informations","Solicita informatii"
"Print this page", "Imprima pagina"
"How to buy / Delivery","Cum cumpar? / Cum se livreaza?"
"Manufactured in","Produs fabricat in"
"Product's Review","Opinii clienti"
"Articles/page","Articole/pagina"
"Ask for offer","Cere oferta"
"This product is available for purchase in increments of %s only.","Comanda minima pentru acest produs este %s buc."
