"%s was added to your shopping cart.","%s a fost adaugat in cos."
"Please agree to all Terms and Conditions before placing the orders.","Va rugam fiti de acord cu toti termenii si toate conditiile inainte de plasarea comenzilor."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Introdu un cod postal corect. De exemplu 600050."
"Please log in below:","Login:"
"Please select region, state or province","Alege judetul"
"Please select shipping address for applicable items","Va rugam selectati adresa de incarcare pentru articolele aplicabile"
"Please select shipping methods for all addresses","Alege metodele de livrare pentru toate adresele"
"Price","Pret"
"Proceed to Checkout","Spre finalizarea comenzii"
"Product","Produs"
"Product Name","Nume produs"
"Product does not exist","Produsul nu exista"
"Qty","Cantitate"
"Quote Lifetime (days)","Valabilitate estimare (zile)"
"Recently added item(s)","Produse recent adaugate"
"Register","Inregistreaza-te"
"Register and save time!","Inregistreaza-te si economiseste!"
"Register to Create an Account","Inregistreaza-te si creaza-ti un cont"
"Register with us for future convenience:","Inregistreaza-te pentru a-ti fi mai simplu cand ne vizitezi data viitoare."
"Remove","Sterge"
"Remove Item","Sterge articol"
"Remove Product","Sterge produs"
"Remove item","Inlocuieste articol"
"Review Order","Detalii comanda"
"Review Order - %s","Detalii comanda - %s"
"Sales","Vanzari"
"Save Condition","Salveaza conditie"
"Save in address book","Salveaza in agenda"
"Select Address","Selecteaza adresa"
"Select Addresses","Selecteaza adresele"
"Select Shipping Method","Selecteaza metoda de livrare"
"Select State/Province...","Selecteaza judetul..."
"Select a billing address from your address book or enter a new address.","Alege o adresa de facturare din agenda sau introdu una noua."
"Select a shipping address from your address book or enter a new address.","Alege o adresa de livrare din agenda sau introdu una noua."
"Send Payment Failed Email Copy Method","Metoda copiere email trimitere plata esuata"
"Send Payment Failed Email Copy To","La copiere email trimitere plata esuata"
"Send to","Expediaza catre"
"Ship to Multiple Addresses","Livrare la adrese multiple"
"Ship to different address","Livrare la o adresa diferita"
"Ship to this address","Livrare la aceasta adresa"
"Shipping Address","Adresa de livrare"
"Shipping Information","Informatii de livrare"
"Shipping Method","Metoda de livrare"
"Shipping Methods","Metode de livrare"
"Shipping method has not been selected yet","Metoda de livrare nu a fost aleasa inca"
"Shipping selection is not applicable","Selectie incarcare neaplicabila"
"Shipping to","Livrare catre"
"Shopping Cart","Cos de cumparaturi"
"Shopping Cart Sidebar","Cart sidebar de cumparaturi"
"Shopping Cart is Empty","Cosul de cumparaturi este gol"
"Show Content as","Arata continut ca"
"Some of the products you requested are not available in the desired quantity","Unele produse solicitate nu sunt disponibile in cantitatile dorite"
"Some of the products you requested are unavailable","Unele produse solicitate nu sunt disponibile"
"Sorry, Onepage Checkout is disabled.","Ne pare rau, pagina de verificare iesiri este invalida."
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Ne pare rau, verificarea musafirului nu este posibila."
"Sorry, no quotes are available for this order at this time.","Ne pare rau, nu putem face o estimare de cost in acest moment. Te rugam sa ne contactezi pentru detalii."
"State/Province","Judetul"
"Status","Status"
"Store View","Vizualizare stoc"
"Street Address","Strada"
"Street Address ","Strada "
"Submitting order information...","Se introduc informatiile..."
"Subtotal","Subtotal"
"Telephone","Telefon"
"Terms and Conditions","Termeni si Conditii"
"Terms and Conditions Information","Terms and Conditions Information"
"Terms and conditions","Termeni si"
"Text","Text"
"Thank you for your purchase!","Iti multumim pentru comanda facuta!"
"There are <a href=""%s"">%s items</a> in your cart.","Sunt <a href=""%s"">%s produse</a> in cos."
"There is <a href=""%s"">1 item</a> in your cart.","Este <a href=""%s"">1 produs</a> in cos."
"There is already a customer registered using this email address","Exista deja un client inregistrat cu aceasta adresa de e-mail"
"There was an error processing your order. Please contact us or try again later.","A aparut o eroare la procesarea comenzii tale. Te rugam sa ne contactezi sau sa incerci mai tarziu."
"This condition no longer exists","Aceasta conditie nu mai exista"
"Total","Total"
"Total for this address","Total pentru acesta adresa"
"Unit Price","Pret unitar"
"Update Qty &amp; Addresses","Actualizeaza cantitatea &amp; adreselor"
"Update Shopping Cart","Actualizeaza cosul"
"Update Total","Actualizeaza total"
"Use Billing Address","Foloseste adresa de facturare"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Comanda este procesata si vei primi un email cu detaliile acesteia. De indata ce vom livra, iti vom trimite un e-mail cu informatiile de urmarire a comenzii."
"You have no items in your shopping cart.","Nu aveti niciun produs in cos."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Vei primi un e-mail cu confirmarea comenzii si un numar de urmarire a acesteia."
"Your Checkout Progress","Sumar comanda:"
"Your order # is: %s.","Nr. comenzii tale este: %s."
"Your order # is: <a href=""%s"">%s</a>.","Numarul comenzii tale este: <a href=""%s"">%s</a>."
"Your order has been received","Comanda ta a fost receptionata."
"Your order number is ","Numarul comenzii tale este "
"Zip/Postal Code","Cod postal"
"osCommerce Orders","Comenzi osCommerce"
"separate by "",""","separate de "","""
"My Cart:","Cosul meu:"
"My Cart (%s item)","Cosul meu (%s)"
"My Cart (%s items)","Cosul meu (%s)"
"My Cart: %s","Cosul meu: %s"
"My Cart: 0","Cosul meu: 0"
"You have no items in your shopping cart.","Nu aveti niciun articol in cosul tau de cumparaturi."
"Checkout","Finalizare comanda"
"Shopping Cart is Empty","Cosul de cumparaturi este gol"
"Please <a href=""%s"">continue shopping</a>.","Va rugam <a href=""%s"">continua cumpararea</a>."
"Click <a href=""%s"">here</a> to continue shopping.","Click <a href=""%s"">aici</a> pentru a continua cumparaturile."
"Subtotal - Tax excluded","Subtotal (fara TVA)"
"Grand Total - Tax included","Total (TVA inclus)"
"Tax amount","Valoare TVA"
"Grand Total Excl. Tax","Total (Fara TVA)"
"Grand Total Incl. Tax","Total (TVA inclus)"
